Jean-Claude Duvalier  Strait of Hormuz  Somalia  Haiti  Kenya  United States  Brazil  Government  Al-Shabaab  City  Shilling  Somali people  Village  Mogadishu  Mamata Banerjee  Hospital  Nova Friburgo  Liu Zhijun  Chinese New Year  Food  January 12  Water  Family (biology)  Australia  African Union  Medicine  Kenya Defence Forces  Flood  Tourism  Famine  
0.0026220495635682003  0.002463797891240992  0.0024474467223935506  0.002385142420810955  0.0023455648591612335  0.0023452918076646203  0.002342220312018076  0.0023175047839715216  0.0021735187407800473  0.002088174251850027  0.002056732762725598  0.002053277310614922  0.0020419634436308065  0.0020101753181706685  0.0020098652305922827  0.0019837340142835123  0.0019470033814859215  0.0019391144873538862  0.0019276866624791608  0.0019183508915615577  0.0019012196035286845  0.0018739119483727471  0.001852603471890195  0.0018295556143359953  0.0018037986210247556  0.0017433158870130392  0.0017142642606102184  0.0017055890976374454  0.0016728840394903853  0.0016660543035638708  
News of the World  Rebekah Brooks  Rupert Murdoch  Murder of Milly Dowler  Andy Coulson  News International phone hacking scandal  Clive Goodman  News Corporation  News International  BSkyB  John Whittingdale  Phone hacking  Last Judgment  United Kingdom  Hacker (computer security)  Newspaper  Shilling  Police  Tabloid  David Cameron  Scandal  Prime minister  News  The Guardian  Paper  Mobile phone  Editing  Tracy Brookshaw  Scotland Yard  Sun  
2.418586155924314E-4  2.255911583506602E-4  2.2020478840822306E-4  1.9512934842342457E-4  1.869931769834841E-4  1.7370967715581024E-4  1.6907234499936787E-4  1.6878710261457636E-4  1.665073645108732E-4  1.6619391732933372E-4  1.6213939844323468E-4  1.4473189077931155E-4  1.4412209864523505E-4  1.408736822766835E-4  1.3970041793089872E-4  1.341093883938112E-4  1.3058832904432413E-4  1.2274644089850948E-4  1.2240911028103902E-4  1.2047058134232736E-4  1.1650588090963687E-4  1.1569641948823566E-4  1.1548207391621236E-4  1.1155541859896635E-4  1.0681657413765619E-4  9.818431370084885E-5  9.46493058726572E-5  9.202134425638487E-5  9.201818537430868E-5  9.195014543471851E-5  
Libya  United States  Muammar Gaddafi  Afghanistan  Tripoli  NATO  Colonel  Military  Libyan Air Force  Ra's Lanuf  Government  Pakistan  Rebellion  Taliban  Ajdabiya  Benghazi  Security  Haqqani network  Police  Fighter aircraft  Burhanuddin Rabbani  City  War  Insurgency  Misrata  Shilling  Bomb  United Nations  Barack Obama  Kabul  
0.003874433270912195  0.0037444481904802974  0.003715952792533042  0.003646965802938127  0.003539185785657417  0.0035078684706967758  0.0034411086367903423  0.0032196015518409183  0.0032028116648662925  0.0031640022179195305  0.0031093972725138217  0.0031080054097248513  0.003060987043033784  0.0030428470546277507  0.0029551945499701683  0.00287521671834341  0.002870440119880345  0.002857342868003384  0.002830095241815762  0.0027757531935808924  0.0027663121347589782  0.0026760012792249985  0.0025684571090608533  0.0025548998180763838  0.002532763797537458  0.0025042874591301007  0.002496628810484362  0.002494985019635785  0.002485558933597642  0.0024577108482895004  
Government  Ramadan  United States  Shilling  Police  Politics  Syria  Protest  Security  Military  Al-Qaeda  City  Ratko Mladic  President of the United States  China  Country  Human rights  President  Yemen  Moneygall  Activism  News  Minister (Christianity)  Bashar al-Assad  Violence  Prison  Prime minister  Law  Rebellion  Good Friday  
0.0031656846864714394  0.0031413727859936898  0.0031019550536649783  0.003088601565756799  0.0030705198158914896  0.002971559710998002  0.0028856552753304615  0.0028204218399673037  0.0027831916712833275  0.0027617694394281044  0.002757906275162401  0.0026969037638747196  0.00267277864594252  0.002665496473084511  0.002658249017069641  0.0026580654411129875  0.0025838956863047918  0.0025662300474541704  0.0024465733625292753  0.0024056035869439475  0.002393857030476964  0.002389696818216912  0.002336942555583631  0.0023274883116236036  0.0022251567382507334  0.0022080839824589692  0.0021771476395581637  0.00217558526768615  0.002161959220041239  0.0021135799081966685  
Kim Jong-un  Kim Jong-il  Kim Jong-nam  Kim Il-sung  North Korea  Pyongyang  National Defence Commission of North Korea  Rodong Sinmun  Korea  Seoul  Funeral  South Korea  List of Prison Break minor characters  Kim Il (politician)  News media  Korean language  Mausoleum  Stroke  Koreans  Family (biology)  Inheritance  Commander-in-chief  Chairman  Cult of personality  Myocardial infarction  Commander  Central Military Commission  Comrade  Song  Capital city  
6.67812505517681E-5  6.521853448268199E-5  6.368785941576616E-5  6.338928436759399E-5  6.313477536806612E-5  6.274669206544587E-5  5.98128280910015E-5  5.526623815297126E-5  5.2957224453146114E-5  5.288863002939403E-5  5.256161904538406E-5  5.2082286049125725E-5  5.204753646713386E-5  5.0895149375535514E-5  5.085346543020333E-5  5.068137588080484E-5  5.027758175900368E-5  4.9854251862941284E-5  4.869103356909718E-5  4.785936189477798E-5  4.708358352841836E-5  4.6728793416490484E-5  4.6018831139643504E-5  4.4826265206469525E-5  4.3988019013055385E-5  4.344056260501683E-5  4.3378030119391035E-5  4.312764343487545E-5  4.291184231163959E-5  3.9879262104582466E-5  
Rebekah Brooks  News of the World  Rupert Murdoch  Fazul Abdullah Mohammed  James Murdoch (media executive)  Lazarevo  Murder of Milly Dowler  Andy Coulson  News International  News International phone hacking scandal  News Corporation  Phone hacking  Tracy Brookshaw  Tabloid  BSkyB  Boris Tadic  Newspaper  Mogadishu  Hacker (computer security)  Somalia  United Kingdom  Somali people  Editing  The News (Adelaide)  Serbs  Police  Labour Party (UK)  David Cameron  Rebecca  The Sun (United Kingdom)  
