Salmaan Taseer  Ilyas Kashmiri  Laurent Gbagbo  Alassane Ouattara  Ratko Mladic  Ivory Coast  United Nations  May 21  Abidjan  Ellen Johnson Sirleaf  LulzSec  Josefa Iloilo  John Demjanjuk  War crime  Srebrenica  War  Serbia  France  Ivory  Serbs  Ieng Thirith  Tibet  Liberia  Khmer Rouge  Blasphemy  Standard Tibetan  Kosovo  The Hague  Tribunal  Monk  
0.0022197208094475404  0.0021972874917466894  0.0021421250388079017  0.0020717033652121225  0.0020035876293317528  0.0019478498442830996  0.0018355405034430163  0.0017565822293453858  0.0017222347773055732  0.0017191571747381328  0.0016921345301660923  0.0016779900304582805  0.0016570828239836368  0.0016521024006348616  0.0016123970067292324  0.0015956516798472098  0.0015880760754356997  0.0015627569795438117  0.0015615682739643156  0.001560979096297941  0.0014774229936857079  0.0014524232325359853  0.001446549112005402  0.0013568629483797505  0.0013533077151867273  0.0013361151380812514  0.0012778797992347342  0.0012628509053957333  0.0012597192563405899  0.0012520948078921085  
Gilad Shalit  Palestinian prisoners in Israel  Yakovlev Yak-42  Thailand  Yingluck Shinawatra  Syed Saleem Shahzad  Pheu Thai Party  Israel  Bangkok  Thaksin Shinawatra  Hamas  Yaroslavl  Cambodia  Soldier  Gaza  Israelis  Palestinian people  Monarchy  Prime minister  Democrat Party (Thailand)  Prison  July 3  Military  Nepal  Temple  Government  Monarch  Maoism  Sergeant  Television  
0.001619808093031875  0.0015738654345102045  0.001535079225938136  0.0015260132032775152  0.001492820453211918  0.0014769559331346497  0.0012961779013131284  0.0012881812987402335  0.00128386512364947  0.0012758844902933013  0.0011796703031726331  0.0011637978629880474  0.0010853230396799612  0.0010846373750310193  0.0010532407960862015  0.0010022801842631726  9.99371367485231E-4  9.977519304056016E-4  9.860866405589854E-4  9.343922109543677E-4  9.263160284676621E-4  9.091385287796925E-4  8.932886492866936E-4  8.548233998548888E-4  8.426476596308602E-4  8.40066442497637E-4  8.237440857436497E-4  7.936362650701152E-4  7.80966908974636E-4  7.730048460569165E-4  
Osama bin Laden  Abbottabad  Death of Osama bin Laden  Bin Laden family  Al-Qaeda  United States Navy SEALs  Omar bin Laden  Mohammed Omar  United States Naval Special Warfare Development Group  Pakistan  Ayman al-Zawahiri  Taliban  United States  Islamabad  Inter-Services Intelligence  Terrorism  May 2  Afghanistan  Demographics of Pakistan  Ashfaq Parvez Kayani  Raid (military)  Al-Qaeda in the Arabian Peninsula  Waziristan  Pakistani Armed Forces  Counter-terrorism  Hamid Gul  Asif Ali Zardari  Intelligence agency  Chemical compound  Naval base  
1.7705198262393053E-4  1.691534996445768E-4  1.6896773174342297E-4  1.6362980876651807E-4  1.574025186167135E-4  1.4994496549423816E-4  1.4800350621705836E-4  1.4463595510560756E-4  1.4143800959571493E-4  1.4065477718517777E-4  1.3636469772215957E-4  1.3613029923040194E-4  1.298321589785035E-4  1.2876910163514134E-4  1.2357939406448885E-4  1.1947083179467538E-4  1.1421316057384636E-4  1.1344535815079217E-4  1.1216731248585476E-4  1.1021473961007907E-4  1.0816002519443537E-4  1.0728316550702162E-4  1.0282490373152862E-4  9.471834113340083E-5  9.441321201977159E-5  9.227975215000527E-5  9.159519782864497E-5  8.84784037197452E-5  8.610485318718232E-5  8.595543992453281E-5  
Tunisia  Zine El Abidine Ben Ali  Israel  Government  Ramadan  Syria  Palestinian people  Protest  Arab people  Turkey  Passover  Yemen  Security  Bashar al-Assad  Military  Hamas  Israelis  Activism  Liam Fox  Eid al-Adha  City  Syrian people  United Nations  Gaza  Politics  Blockade of the Gaza Strip (2007-present)  Lebanon  Saudi Arabia  Violence  Muslim  
0.005536994771051585  0.005532708028539087  0.005076951156110623  0.0049843476153208595  0.004977816365355053  0.004949948899744496  0.004857294189742056  0.004811484727577541  0.004660998896952832  0.004581218028413941  0.004541643572631673  0.004361363629869424  0.004163135624122798  0.0040942939956541856  0.004035139851051394  0.0040052631966913076  0.003982779921210384  0.0038284572155069703  0.0038230105752820012  0.0037602985967993647  0.0037259822154960894  0.0037214909281398337  0.0037005428388005726  0.0036430530970569005  0.0036221941869359776  0.0036212063092670986  0.003502829248448352  0.003477615010745968  0.0034257569623447025  0.00329881144543463  
Nuclear meltdown  Nuclear reactor technology  Fukushima Prefecture  Tokyo Electric Power Company  Nuclear fuel  Japan  Containment building  Strait of Hormuz  Tsunami  Nuclear power  Three Mile Island Nuclear Generating Station  Spent fuel pool  Yukio Edano  Boiling water reactor  Spent nuclear fuel  Radiation  Chernobyl disaster  Nuclear and Industrial Safety Agency  Iodine-131  Plant  Nuclear weapon  Sievert  Nuclear reactor core  Radioactive decay  Tokyo  Seiji Maehara  Three Mile Island accident  Caesium-137  Earthquake  Fukushima Daiichi Nuclear Power Plant  
0.003802038930872946  0.0037647953152296775  0.0032549714102805233  0.0028883549873073237  0.0024651602136228235  0.00242840387136294  0.0023755820609996734  0.002261701075800839  0.0021179977718697196  0.0020471682395963842  0.0019529524964111645  0.001823056919795079  0.0017546623396575993  0.0017198697624922691  0.0016754172809794934  0.001526798895962896  0.0015136152386426688  0.0013394739010639894  0.0013037360495185028  0.001279250023545432  0.0011558436572093325  0.0011438806891944655  0.0010562403810365384  0.0010410421671456106  0.0010262860327828497  0.001022158116177333  0.0010177965198329138  0.0010016309711379859  9.767183922819028E-4  9.708453050067501E-4  
Anders Behring Breivik  Dominique Strauss-Kahn  Christmas  Jens Stoltenberg  Moneygall  Good Friday  Progress Party (Norway)  Church (building)  Itamar  Norway  Westminster Abbey  Diana, Princess of Wales  WikiLeaks  Christian  France  United Kingdom  Julian Assange  Nigeria  Shilling  Catholic Church  Ireland  Easter  Holy See  Catholic  Human sexuality  Prince Harry of Wales  Priest  Pope  Police  Oslo  
0.00335898126151826  0.003357916069752641  0.0033126498723845405  0.003302560534501517  0.003099931460081631  0.0030777180526883803  0.002976383083262515  0.0028995399117668357  0.0028834260268962466  0.002757738890606011  0.0025637731917869623  0.0024995602512093967  0.002491686426691801  0.0024575304913732683  0.002329552859604005  0.0022827521282175562  0.002252176206905609  0.002197935862042793  0.002136102998079876  0.002112173436641294  0.0020257662194421624  0.001996985018790385  0.001991526203273959  0.001963187470094598  0.0019476866129020973  0.0018309218485823339  0.0018198500211524576  0.0018047814477663232  0.0018000966212070202  0.0017581876156691754  
South Sudan  Government  George Papandreou  Shilling  Economy  Antonis Samaras  Europe  Politics  Germany  Sudan  Prime minister  European Union  Italy  Ethnic groups in Europe  France  Minister (Christianity)  Country  Euro  Somalia  Bank  Greece  Election  Tax  Debt  Finance  Africa  Union (American Civil War)  Democratic Party (United States)  Silvio Berlusconi  Mariano Rajoy  
0.004786213822337887  0.004752569555842748  0.004567272984960704  0.004515710422401266  0.004329183310977118  0.004319572603998002  0.004200552291714638  0.0041880623146517155  0.004097339069417119  0.004078895590955983  0.004060962654833028  0.004040695455767555  0.003961978936544342  0.0039395507004305235  0.003608353492591205  0.0034477145806557537  0.003293863100309493  0.003289784295742017  0.003209818884311414  0.0031935162232987133  0.0031811290403786397  0.0031801862266185063  0.0031776479348490164  0.003165270555737459  0.0031185290027193908  0.0030636663772189245  0.0030390119064456485  0.002959365713893173  0.0029165609386961966  0.002839681505708569  
Kim Jong-un  Kim Jong-il  Lockheed Martin RQ-170 Sentinel  North Korea  Lazarevo  Kim Jong-nam  Kim Il-sung  Pyongyang  Korea  South Korea  Korean Central News Agency  Rodong Sinmun  Korean language  National Defence Commission of North Korea  Seoul  Military  Koreans  List of Prison Break minor characters  Unmanned aerial vehicle  North Korean defectors  Kim Dae-jung  Kim Il (politician)  Six-party talks  Government  Nuclear weapon  Korean Peninsula  Lee Myung-bak  North Korea and weapons of mass destruction  Funeral  News  
1.680897519558282E-4  1.655811652360244E-4  1.6276534142276923E-4  1.6052318924090065E-4  1.5700761807886548E-4  1.503464760514719E-4  1.4583263629334796E-4  1.419419968090112E-4  1.3547693287282805E-4  1.3451192233571773E-4  1.3022632291686338E-4  1.2646571090808853E-4  1.1311579097125546E-4  1.1033355909488481E-4  1.0511584952481807E-4  1.0367801793994049E-4  1.0360017019928844E-4  1.0230547707578295E-4  1.0205720482399808E-4  9.84975522276209E-5  9.735961662359616E-5  9.45068857163137E-5  9.419533061341445E-5  9.374230409599892E-5  9.284739596952327E-5  9.048591106928779E-5  8.985099167913212E-5  8.904422991537015E-5  8.619305480076192E-5  8.59794818757428E-5  
Abbottabad  Osama bin Laden  Death of Osama bin Laden  Joint Special Operations Command  Al-Qaeda  United States Navy SEALs  John O. Brennan  Pakistan  Mohammed Omar  Walter Bonatti  May 2  Inter-Services Intelligence  Islamabad  United States  Taliban  Ahmad Shuja Pasha  Ayman al-Zawahiri  Osama bin Laden's compound in Abbottabad  Jihadism  Military  Demographics of Pakistan  Terrorism  Tehrik-i-Taliban Pakistan  Pakistani Armed Forces  Ashfaq Parvez Kayani  Afghanistan  Raid (military)  Leon Panetta  Presidency of Barack Obama  Barack Obama  
2.1122958932249974E-4  1.8622262713968585E-4  1.7748703853860313E-4  1.7580223578353513E-4  1.60915799646351E-4  1.587161171086603E-4  1.481119804411831E-4  1.4141785098820126E-4  1.3694379997544086E-4  1.3528937628762795E-4  1.3446391517623962E-4  1.3260437135922704E-4  1.159871403903689E-4  1.1075307572406953E-4  1.0866811576984011E-4  1.0846606348651532E-4  1.058168152146947E-4  1.0442634252942608E-4  1.0190205822701356E-4  1.018607272622905E-4  1.0034568738027343E-4  9.692131964314521E-5  9.674869375192958E-5  9.27140919956793E-5  9.267572835661263E-5  9.215395373991632E-5  9.072257010823322E-5  9.035435106937265E-5  9.014959744283839E-5  8.950732898621657E-5  
No-fly zone  Libya  Muammar Gaddafi  Tripoli  Colonel  Libyan Air Force  Ra's Lanuf  Rebellion  Renaissance Party  Benghazi  Ajdabiya  NATO  Quds Force  Operation Odyssey Dawn  Misrata  Military  Tomahawk (missile)  2011 military intervention in Libya  Government  Fighter aircraft  City  United States  Shilling  Airstrike  Moussa Koussa  France  Bab al-Azizia  Sirte  United Nations  March 9  
0.0031758728353937678  0.0031051744608372044  0.0030105604702166805  0.002677223929380915  0.002676227612543814  0.0026462063487418005  0.002616742921552089  0.002591209225311729  0.0025785376536306237  0.002562607267275881  0.00236057710283714  0.002321907600715118  0.0022225711998322887  0.0021333779099994505  0.0020181801413507363  0.0019658680463667992  0.001962342809465658  0.0018558806655636821  0.001834210210482066  0.0018142969036478269  0.0017879737683909416  0.0017785683090734369  0.0017628152035013302  0.0017618932834056883  0.0017240856170579514  0.0016977320987561619  0.0016720140565255497  0.001661377430848283  0.0016214116955131272  0.0015696754956120715  
Wendi Deng  Rupert Murdoch  James Murdoch (media executive)  Harri Holkeri  News Corporation  Tom Watson (golfer)  February 23  Shaving cream  Protest  Police  Shilling  Officer (armed forces)  Parliament of the United Kingdom  Bit  Cream  Television  Twitter  New York  Lawyer  Tiger  List of newspapers in the United Kingdom  Foot (unit)  Paper  Mass media  Haitian Revolution  Political power  Pie  Witch-hunt  Java  Comedian  
