Web browser   Application programming interface   Software developer   HTML   HTML5   Code   Blog   Website   World Wide Web   Hacker (computer security)   
Facebook   Twitter   News   Social network   Computer network   LinkedIn   Privacy   Web feed   Tag (metadata)   Graph (mathematics)   
Startup company   Entrepreneur   Investor   Investment   Second   New York   Business   Chief executive officer   Capital city   Silicon Valley   
Zynga   Video game   Virtual   3D computer graphics   Currency   Mobile game   Angry Birds   Ship naming and launching   Video game developer   Gambling   
Startup company   TechCrunch   Entrepreneur   Investor   New York   Investment   Chief executive officer   Product (business)   New York City   Capital city   
Apple Inc.   Television   IPhone   Music   Streaming media   Netflix   IPhone 4   Spotify   Film   ITunes   
Video   Mass media   Advertising   Brand   Marketing   Online and offline   Publishing   YouTube   Social media   Computing platform   
United States   China   Second   Europe   United Kingdom   Market   London   Internet   Japan   Germany   
1000000000 (number)   Revenue   Chief executive officer   Market   Initial public offering   Yahoo!   Investor   Business   Stock   2011   
Android (operating system)   Smartphone   Microsoft Windows   Microsoft   Samsung   Apple Inc.   Nokia   Market   Windows Phone 7   Motorola   
Google   Email   Gmail   Human voice   Skype   Map   Bit   Web search engine   Software release life cycle   Component Object Model   
Data   Computer network   AT&T   Mobile, Alabama   Wireless   Verizon Communications   IBM Personal Computer/AT   Automobile   T-Mobile   Mobile phone   
Patent   Technology   Lawsuit   Second   Government   Industry   Innovation   Law   Politics   Crowd funding   
Camera   Amazon Kindle   Bit   IPad   Amazon.com   Android (operating system)   Hardware   Inch   Fire   Amazon River   
Consumer   Retail   Online and offline   Commerce   Mobile phone   PayPal   Merchant   Electronic commerce   Groupon   Credit (finance)   
Application software   Mobile phone   IOS (Apple)   Android (operating system)   IPhone   App Store (iOS)   Software developer   IPad   Uploading and downloading   Mobile application development   
Application software   Facebook   Twitter   Mobile phone   Apple Inc.   Data   IPad   IPhone   Android (operating system)   Business   
Twitter   Design   Digg   Online and offline   Ship naming and launching   Second   Olympic Games   Digital   Mobile phone   IPhone   
Facebook   Application software   Android (operating system)   Startup company   Mobile phone   Twitter   Google   Data   Apple Inc.   Computing platform   
Business   Data   Computer software   Cloud   Cloud computing   Management   Salesforce.com   Product (business)   Customer   Dropbox (service)   
