Business  Computer software  Cloud  Management  Cloud computing  Salesforce.com  Information technology  Oracle Corporation  Server (computing)  Customer relationship management  Infrastructure  Software as a service  Technology  Linux  Solution  Open source  Small business  Enterprise software  Computing platform  Collaboration  Product (business)  Automation  Productivity  Starship Enterprise  Market  Customer  Data center  Computing  C (programming language)  Security  
0.005856816910203002  0.00580521682823147  0.00561070862413346  0.005499009975718022  0.005289402901642087  0.005183361150530085  0.005110549417519484  0.005008656513416108  0.004887614157948159  0.004703492186089264  0.004662238317076974  0.004363287040826854  0.00433652321143528  0.004317011801072699  0.004211803911151794  0.004209170829249987  0.004207906670383173  0.004088377186182285  0.0040040655121288335  0.003968587851351232  0.0038134891826223003  0.0037838267108706524  0.0037422717510491696  0.0036726183514861257  0.003659361501047595  0.003551640164551335  0.0034939568100614145  0.0033370470425418595  0.0032193333284977104  0.003200428051408778  
Facebook  Twitter  Data  Application software  Computer network  Business  Brand  Consumer  Mobile phone  Foursquare (website)  Online and offline  Social media  Marketing  Mass media  Product (chemistry)  Startup company  South by Southwest  Computing platform  Retail  Ship naming and launching  News  Advertising  Social network  Blog  Email  Product (business)  Technology  Publishing  Music  Website  
0.004909040687518376  0.0048145602342959636  0.0047293735312449615  0.004687128446799396  0.0046225437252441  0.004591550590305402  0.004545160692160304  0.004535121943104318  0.004451547395632052  0.004204318484061022  0.004008399329576213  0.003727824174117453  0.003706136139083605  0.0034879958856728027  0.0033805379213571415  0.003351034903722329  0.003307958780076273  0.0032906406419977944  0.0032579417909532555  0.0032492717506381985  0.0032086652784544044  0.003112656690921432  0.003043211288013953  0.0029826577192659633  0.0028017488681030852  0.002708687110826625  0.0025889663893302315  0.002561895370253091  0.002490899059264725  0.0024833045708826168  
Google  Map  Google Maps  Google (verb)  Blog  Web search engine  Gmail  Eric Schmidt  Product (chemistry)  Image  Cant (language)  Larry Page  Google Search  Information retrieval  Google Voice  Input/output  Competition  Google Street View  Monopoly  Bit  Bing (search engine)  The Wall Street Journal  Matter  Aircraft engine  Semantics  Circle  Key (music)  Product (business)  2010  Count  
0.0031551971936491802  0.0031039968489173127  0.00309486355472938  0.003064494112176848  0.0029492151159121504  0.0028781516175042155  0.002479611626156777  0.0023709130189167216  0.0023124371677311966  0.0022694986214197503  0.0022536350457868256  0.0021989627595548275  0.0021562161749205315  0.002115168022443262  0.0020718840533829157  0.0019733408189361113  0.0019493364731295194  0.001925660669679255  0.001915006647479677  0.0018414623381771994  0.0017169780802974103  0.0017156678025275216  0.0017114616919076736  0.001696229422337463  0.001684649265378851  0.0016597333146337672  0.0015972602266565098  0.001584780209995442  0.001532053455966719  0.001524953798964636  
AT&T  Verizon Communications  Wireless  Computer network  IBM Personal Computer/AT  Mobile, Alabama  T-Mobile  4G  Second  Sprint Nextel  Wi-Fi  3GPP Long Term Evolution  Gigabyte  Samsung Galaxy S  Contract  Carrier wave  Samsung  Aircraft carrier  HTC Corporation  Mobile network operator  Broadband  Smartphone  Galaxy  Mergers and acquisitions  United States  3G  Federal Communications Commission  LG Corp.  Handset  Samsung Galaxy S II  
0.006710599833044647  0.006591287508854177  0.006377352014502786  0.006243624002507422  0.005951251700992637  0.0058738277239054944  0.005776269740168284  0.005330642363243779  0.0052352930728870005  0.005128167063823178  0.0047975962619184135  0.004728525026908758  0.004107951324024136  0.0040003310713656315  0.003984735495151009  0.0038626946328247686  0.0037466883819654425  0.003647981494548643  0.0034194196768148936  0.003311078875128085  0.003297301976431993  0.003097996595722928  0.00308032718602157  0.002836806689546225  0.0028336638864970565  0.002637519285732515  0.002614484698430334  0.002608238032699193  0.0025815821773008656  0.0025167372934443988  
Mobile phone  Mobile device  Mobile application development  Application software  Smartphone  Mobile, Alabama  Computing platform  Tablet computer  Mobile Web  Desktop computer  Consumer  Mobile operating system  Second  Mobile content  Location-based service  Computer network  ComScore  Cross-platform  Technology  Strategy  Web browser  Statistical survey  StumbleUpon  User experience  Metre  Cross  Spokesperson  Feature phone  End-user  Laptop  
0.002809785994356554  0.0026789678145058334  0.002557389544386575  0.002362082719878271  0.002307534013014165  0.0022933635900802773  0.0020056804812713107  0.0016431166704484294  0.0015676669676041599  0.0015026322911279259  0.0014642511354387153  0.0014442369396876523  0.0013487966262071302  0.0013446294515097688  0.0013367320856092653  0.0013041286359446362  0.0012675314307386723  0.0012674458992864943  0.0012230671553281334  0.0011778445561070497  0.0011680629266530606  0.0011607382526305687  0.0010763977698942195  0.0010470655565749142  9.96800917923412E-4  9.874530032316087E-4  9.800065959646358E-4  9.542757677686956E-4  9.248922183621408E-4  9.085129381370203E-4  
Facebook  Computer network  News  Social network  Graph (mathematics)  Web feed  Privacy  Social networking service  Single (music)  Social graph  Timeline  Racial integration  Login  Mark Zuckerberg  Button  Cant (language)  Browsing (herbivory)  Home page  Filter (signal processing)  Tag (metadata)  Karma  Blog  Spam (electronic)  Uniform Resource Locator  Facebook Connect  Friends  Opt-out  Logging  Myspace  Third-party developer  
